pins OK. expected src hashes: install ccd5fc7dbc2035b6  restore 2052d5642163f62e
HEAD 693681d20783; frames -> /home/user/Demo/progress/records/fxartifact1
· waiting for capture lock (4701s, held by pid 4615)
· waiting for capture lock (4712s, held by pid 4615)
· waiting for capture lock (4722s, held by pid 4615)
· waiting for capture lock (4732s, held by pid 4615)
· waiting for capture lock (4743s, held by pid 4615)
· waiting for capture lock (4754s, held by pid 4615)
· waiting for capture lock (4765s, held by pid 4615)
· waiting for capture lock (4775s, held by pid 4615)
· waiting for capture lock (4786s, held by pid 4615)
· waiting for capture lock (4796s, held by pid 4615)
· waiting for capture lock (4807s, held by pid 4615)
· waiting for capture lock (4817s, held by pid 4615)
· waiting for capture lock (4827s, held by pid 4615)
· waiting for capture lock (4837s, held by pid 4615)
· waiting for capture lock (4848s, held by pid 4615)
· waiting for capture lock (4859s, held by pid 4615)
· waiting for capture lock (4869s, held by pid 4615)
· waiting for capture lock (4879s, held by pid 4615)
· waiting for capture lock (4890s, held by pid 4615)
· waiting for capture lock (4900s, held by pid 4615)
· waiting for capture lock (4911s, held by pid 4615)
· waiting for capture lock (4922s, held by pid 4615)
· waiting for capture lock (4933s, held by pid 4615)
· waiting for capture lock (4943s, held by pid 4615)
· waiting for capture lock (4954s, held by pid 4615)
· waiting for capture lock (4965s, held by pid 4615)
· waiting for capture lock (4975s, held by pid 4615)
· waiting for capture lock (4986s, held by pid 4615)
· waiting for capture lock (4996s, held by pid 4615)
· waiting for capture lock (5006s, held by pid 4615)
· waiting for capture lock (5016s, held by pid 4615)
· waiting for capture lock (5027s, held by pid 4615)
· waiting for capture lock (5037s, held by pid 4615)
· waiting for capture lock (5048s, held by pid 4615)
· waiting for capture lock (5058s, held by pid 4615)
· waiting for capture lock (5069s, held by pid 4615)
· waiting for capture lock (5079s, held by pid 4615)
· waiting for capture lock (5089s, held by pid 4615)
· waiting for capture lock (5099s, held by pid 4615)
· waiting for capture lock (5110s, held by pid 4615)
· waiting for capture lock (5121s, held by pid 4615)
· waiting for capture lock (5132s, held by pid 4615)
· waiting for capture lock (5142s, held by pid 4615)
· waiting for capture lock (5153s, held by pid 4615)
· waiting for capture lock (5163s, held by pid 4615)
· waiting for capture lock (5174s, held by pid 4615)
· waiting for capture lock (5185s, held by pid 4615)
· waiting for capture lock (5196s, held by pid 4615)
· waiting for capture lock (5206s, held by pid 4615)
· waiting for capture lock (5216s, held by pid 4615)
· waiting for capture lock (5226s, held by pid 4615)
· waiting for capture lock (5237s, held by pid 4615)
· waiting for capture lock (5247s, held by pid 4615)
