BASE 926f0ee verified: src delta is exactly the three registered files.
HEAD f4056f4364af; frames -> /home/user/Demo/progress/records/torchlight1
· waiting for capture lock (2484s, held by pid 4092)
· waiting for capture lock (2494s, held by pid 4092)
· waiting for capture lock (2505s, held by pid 4092)
· waiting for capture lock (2515s, held by pid 4092)
· waiting for capture lock (2525s, held by pid 4092)
· waiting for capture lock (2536s, held by pid 4092)
· waiting for capture lock (2546s, held by pid 4092)
· waiting for capture lock (2557s, held by pid 4092)
· waiting for capture lock (2568s, held by pid 4092)
· waiting for capture lock (2579s, held by pid 4092)
· waiting for capture lock (2589s, held by pid 4092)
· waiting for capture lock (2600s, held by pid 4092)
· waiting for capture lock (2611s, held by pid 4092)
· waiting for capture lock (2621s, held by pid 4092)
· waiting for capture lock (2631s, held by pid 4092)
· waiting for capture lock (2642s, held by pid 4092)
· waiting for capture lock (2652s, held by pid 4092)
· waiting for capture lock (2662s, held by pid 4092)
· waiting for capture lock (2673s, held by pid 4092)
· waiting for capture lock (2683s, held by pid 4092)
· waiting for capture lock (2693s, held by pid 4092)
· waiting for capture lock (2704s, held by pid 4092)
· waiting for capture lock (2715s, held by pid 4092)
· waiting for capture lock (2725s, held by pid 4092)
· waiting for capture lock (2736s, held by pid 4092)
· waiting for capture lock (2746s, held by pid 4092)
· waiting for capture lock (2757s, held by pid 4092)
· waiting for capture lock (2767s, held by pid 4092)
· waiting for capture lock (2778s, held by pid 4092)
· waiting for capture lock (2788s, held by pid 4092)
· waiting for capture lock (2799s, held by pid 4092)
· waiting for capture lock (2809s, held by pid 4092)
· waiting for capture lock (2819s, held by pid 4092)
· waiting for capture lock (2830s, held by pid 4092)
