# UNCONFIRMED HYPOTHESES — NOT A RANKING. Generated by the collision-vs-art census.
# Each row is a cell where the drawn art and the capsule-swept collision world disagree.
# NONE of these rows has been driven. A row is a claim about what an agent can do and only
# moving an agent settles it; three sibling rows were driven and their verdicts are in the
# round report. Do not act on a row here without driving it first.
# Probe: capsuleSweep (capsule 1.80 x 0.34) vs binned art triangles at y+0.3/0.9/1.5,
# reach 1.2 m, triviality floor 0.02 m. Vertical probes from y=300.
kind	agent	cells	cx	cz	y	depth_m	art_entry_m	art_exit_m	collision_dist_m	art_mesh	route	dir_x	dir_z
INVISIBLE	player	2	15.5	24	1.47	0.77	1.93	1.93	0.43	arch:court:hieroglyph_gilded		-1	0
INVISIBLE	player	1	16	-76	5.1	1.2	-1	-1	0			1	0
INVISIBLE	player	1	16	6	0	0.19	1.36	2.18	1.01	props_bronze		1	0
INVISIBLE	player	1	17	-77	5.26	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	17	-69	3.24	1.18	-1	-1	0.02			1	0
INVISIBLE	player	1	17	-61	1.12	1.19	-1	-1	0.01			1	0
INVISIBLE	player	7	17.71	-13	0.83	1.02	-1	-1	0.18			-1	0
THROUGH-ART	player	1	17	21	0	1.56	0.25	1.81	1.16	arch:court:sandstone_worn		-1	0
INVISIBLE	player	9	18.56	23.78	1.47	0.84	-1	-1	0.36			1	0
THROUGH-ART	player	3	17.67	32.33	28.56	0.62	0.69	1.31	1.2	arch:court:hieroglyph_gilded		0	1
INVISIBLE	player	1	17	34	28.86	1.19	-1	-1	0.01			-1	0
INVISIBLE	neither	1	17	37	3.14	1.19	1.48	1.85	0.01	arch:court:hieroglyph_wall		0	-1
